feature,mean,std,min,max
Bacteroides,6.218469853590274,2.0626666738383483,-3.053687366666602,11.524606687732373
Faecalibacterium,4.99589102497749,2.2750357317302936,-3.875538393850033,8.85829367481091
Roseburia,4.261509136868122,2.566643442019363,-4.383114765799783,10.13570478912591
Parabacteroides,4.150534056431652,2.6006290985903693,-5.3710042413774834,10.84650441411547
Phocaeicola,5.479792066472348,2.946775282810696,-4.252647548713173,12.01341320635417
Streptococcus,2.7466392825952393,2.451241385486955,-4.230641468559509,9.791069268334049
Anaerostipes,2.875663724274689,2.6717510638902713,-5.0964253408218845,11.29278217843016
Collinsella,3.144814276270994,2.8917992854347774,-5.3710042413774834,9.991749504721684
Alistipes,3.5576376449418405,2.955490260264841,-4.076990394953441,9.465226872524145
Blautia,3.0556348911865836,2.5435070227336345,-3.424250634661901,11.464675609071318
Flavonifractor,1.944271151055901,2.524008249378809,-4.714893863007353,9.438996763604774
Bifidobacterium,3.412878975205656,3.2845581044769703,-4.806516100745651,11.999390886552083
Agathobaculum,1.9903593294295743,2.2664728880864815,-4.865156793719746,8.193385675260487
Fusicatenibacter,2.8390425787295013,2.719174580137744,-5.159282048579364,9.145123303798044
Ruthenibacterium,1.4532250849547381,2.1525935485088974,-3.9894610984918746,9.17767295178604
Dorea,2.9363965017601275,2.8441757168337727,-4.518387442087661,9.246121505172836
Lachnospira,2.704654510723512,3.2962739913485986,-4.485228423175367,9.393394017121828
Anaerobutyricum,1.8351419143970182,2.630546287905708,-4.865156793719746,8.930574585472474
Clostridium,1.7594462866639824,2.681517891168248,-4.93077205089889,9.834447251020144
Eubacterium,3.021554671374898,3.0970165623563264,-5.0964253408218845,10.088245553996884
Coprococcus,2.424906114270841,3.063024899646758,-4.865156793719746,8.506693892009077
Odoribacter,1.5909568697952372,2.717639898676504,-4.97735731233737,7.460776834816844
Gemmiger,1.015827695218424,2.539087655936588,-5.159282048579364,7.364950231312806
Ruminococcus,2.638345159596246,3.5712835714386117,-4.93077205089889,10.047088579059784
Enterocloster,0.7589638128417966,2.61116789306515,-5.645218869082958,9.496269190116868
Lawsonibacter,0.4295801668641488,2.0940677110143118,-4.717665110078487,6.261348860234462
Escherichia,1.2819167500346946,3.3528724392634275,-4.84556880335152,11.489225404015064
Prevotella,1.735165294295401,4.1301443612227065,-4.97735731233737,11.145305185678648
Eggerthella,0.27729024378253414,2.5800891923272045,-5.645218869082958,7.930576423096019
Gordonibacter,-0.13593881907152716,2.0765011375890774,-5.159282048579364,6.572752970678288
Adlercreutzia,0.1793156136616676,2.4633115035906723,-4.952071688523013,7.714132510409128
Phascolarctobacterium,1.4798399536477655,3.351930465039443,-5.3710042413774834,8.711804630087585
Bilophila,-0.13713859438179946,2.131271058048438,-5.3710042413774834,6.731468003560935
Butyricimonas,0.03858894147891418,2.5164091260627197,-5.3710042413774834,5.6901767622433015
Veillonella,0.05108700687312562,2.9161132424539407,-5.3710042413774834,9.460925564132184
Oscillibacter,0.6471437457730524,2.979779231254839,-5.0964253408218845,8.57370418003385
Barnesiella,0.6993548074253786,3.2475364294501863,-5.0964253408218845,7.261201233621611
Akkermansia,0.1806466128015695,3.267832683629905,-5.159282048579364,11.797811969850994
Actinomyces,-0.9989688721895669,1.9428186368351017,-4.915921334351292,6.080825716644976
Gemella,-0.8290022523983542,1.960571732726244,-5.106925513633546,4.99265212300747
Intestinimonas,-0.791102423284529,2.2199458932287794,-5.3710042413774834,6.488314991772388
Erysipelatoclostridium,-0.5549007577593867,2.7827351476875313,-5.645218869082958,8.481736122231219
Eisenbergiella,-0.8122886916187887,2.304837925373396,-4.983693727340326,7.303689143788349
Haemophilus,-0.6540224716598209,2.492486280341403,-5.645218869082958,8.074378846160016
Holdemania,-1.1381787600964306,1.8873219942508401,-5.129555254778252,4.909105268735248
Parasutterella,-0.6302279871555572,2.6391940229240225,-5.159282048579364,7.240696769247044
Dialister,-0.4185964415213893,3.010012143684604,-5.356034878570883,9.689472765759808
Coprobacter,-0.7265748257349701,2.5566105370766863,-5.106925513633546,7.376310362310026
Anaerotruncus,-1.133025613259162,2.0126941226416513,-5.645218869082958,6.75879957811082
Lactobacillus,-1.050565062516598,2.254123360526944,-5.159282048579364,8.318446776918442
Hungatella,-1.2523772605383263,2.0248678954021986,-5.159282048579364,9.304463539424493
Intestinibacter,-1.0300676260295716,2.2829998836577676,-5.356034878570883,6.992491381791077
Anaeromassilibacillus,-1.2880263904556037,1.9309320193415738,-5.356034878570883,6.311531342592327
Slackia,-1.0317561291207333,2.4164439782970484,-5.3710042413774834,7.05019309703388
Rothia,-1.47983197429043,1.8085942936841808,-5.3710042413774834,5.670127067584751
Mogibacterium,-1.5505691704944837,1.6492878316204767,-5.3710042413774834,4.920802327146351
Fusobacterium,-1.0196066998696984,2.8002974223378643,-5.129555254778252,9.339979830000711
Enorma,-1.7459884331778284,1.5961620899396416,-5.3710042413774834,6.348756199805231
Paraprevotella,-1.0060831562138002,2.7598920311446733,-5.3710042413774834,8.269361963294013
Klebsiella,-1.0282758363008015,2.985498484896359,-5.645218869082958,11.9134665786025
Holdemanella,-1.136723926487384,2.6655969667233097,-5.645218869082958,7.935280233665055
Turicibacter,-1.661265568809897,2.030972103613964,-5.356034878570883,6.790695654472401
Anaerotignum,-1.4875700001393113,2.443211595771436,-5.159282048579364,7.300967315681632
Sellimonas,-1.504977658370843,2.228054629068237,-5.645218869082958,7.31154474599644
Megasphaera,-1.424059696298391,2.494213148553717,-5.3710042413774834,8.537287409954397
Parvimonas,-1.7005818671268198,1.8970178071334818,-5.356034878570883,7.7510797612611615
Christensenella,-1.913038519464997,1.550291586162554,-5.645218869082958,3.7913189099614497
Acidaminococcus,-1.3470777631822588,2.7714980413035186,-5.3710042413774834,9.9466181152286
Desulfovibrio,-1.5434919653978902,2.3419873140676715,-5.3710042413774834,7.749298953848985
Pseudoflavonifractor,-1.9648748795895918,1.7051400757797441,-5.645218869082958,5.947857886841537
Turicimonas,-1.8962623285354474,1.6802543453690841,-5.3710042413774834,5.498245378755229
Allisonella,-1.8892117395070172,1.744745878556249,-5.3710042413774834,4.553116381082514
Tractidigestivibacter,-2.034850940425054,1.5545595835597095,-5.3710042413774834,6.1244355763786125
Enterococcus,-1.7063462612313116,2.197199615300657,-5.356034878570883,8.532661567905826
Lactococcus,-1.9120001070873924,1.7966179500214763,-5.645218869082958,7.347625181778401
Lacrimispora,-1.8494387244492012,1.8842222101066128,-5.645218869082958,8.83749033418027
Megamonas,-1.60375924508892,2.5733795597182545,-5.645218869082958,8.424151854152925
Monoglobus,-1.8749766711264726,2.071429737013945,-5.645218869082958,7.590858528230179
Dielma,-2.085080380728357,1.5152962509916863,-5.645218869082958,4.7346652100726185
Peptostreptococcus,-1.9826963569496965,1.7561798398076676,-5.356034878570883,6.377325755533006
Catenibacterium,-1.8410086156475027,2.206836664437233,-5.356034878570883,8.2487616735508
Lachnoclostridium,-2.152879235900201,1.4520727818062646,-5.356034878570883,5.260798044575621
Coprobacillus,-2.0671024598158225,1.6572261694169357,-5.645218869082958,5.594336934595646
Harryflintia,-2.1996068892881877,1.3617038911010855,-5.645218869082958,3.609419393805729
Limosilactobacillus,-2.009843487168327,1.9138418247681988,-5.645218869082958,10.00510577776458
Faecalitalea,-1.9872074483834516,1.9073670499115114,-5.3710042413774834,7.855203176103544
Romboutsia,-2.2903742575166017,1.2915319305005948,-5.356034878570883,3.374334169724356
Lancefieldella,-2.266917216975831,1.389796535954886,-5.3710042413774834,4.383186428970332
Ligilactobacillus,-2.047988700199895,1.9160053464074696,-5.645218869082958,9.130982209475256
Citrobacter,-2.078083631484083,1.9198255843558396,-5.645218869082958,9.832429804292415
Butyrivibrio,-1.910074958749626,2.3217253046217965,-5.3710042413774834,8.40789036691356
