contrast,study,feature,n_group1_in_study,n_group0_in_study,mean_diff_clr_in_study
CRC_vs_Control__within_Male,FengQ_2015,Romboutsia,28,36,-1.0318876080886783
CRC_vs_Control__within_Male,GuptaA_2019,Romboutsia,18,12,-0.534717887311779
CRC_vs_Control__within_Male,HanniganGD_2017,Romboutsia,20,11,-0.07816965041907808
CRC_vs_Control__within_Male,KIM_ADENOMAS_2020,Romboutsia,20,62,-0.1467527192060296
CRC_vs_Control__within_Male,SINHA_CRC_2016,Romboutsia,25,56,0.014897845100303786
CRC_vs_Control__within_Male,ThomasAM_2018a,Romboutsia,23,13,0.06634333938206494
CRC_vs_Control__within_Male,ThomasAM_2018b,Romboutsia,23,16,-0.35158672120070156
CRC_vs_Control__within_Male,ThomasAM_2019_c,Romboutsia,21,24,-1.210142853884689
CRC_vs_Control__within_Male,VogtmannE_2016,Romboutsia,37,37,-0.13164812003368365
CRC_vs_Control__within_Male,WirbelJ_2018,Romboutsia,36,37,-0.5558299350300393
CRC_vs_Control__within_Male,YachidaS_2019,Romboutsia,161,136,-0.3401046552272686
CRC_vs_Control__within_Male,YuJ_2015,Romboutsia,48,33,-0.884414133574275
CRC_vs_Control__within_Male,ZellerG_2014,Romboutsia,29,28,-0.49711655042792513
CRC_vs_Control__within_Male,FengQ_2015,Parvimonas,28,36,1.89752822207301
CRC_vs_Control__within_Male,GuptaA_2019,Parvimonas,18,12,0.8848535982023036
CRC_vs_Control__within_Male,HanniganGD_2017,Parvimonas,20,11,-0.15772036040756876
CRC_vs_Control__within_Male,KIM_ADENOMAS_2020,Parvimonas,20,62,-0.1467527192060296
CRC_vs_Control__within_Male,SINHA_CRC_2016,Parvimonas,25,56,0.014897845100303786
CRC_vs_Control__within_Male,ThomasAM_2018a,Parvimonas,23,13,0.3455237779520619
CRC_vs_Control__within_Male,ThomasAM_2018b,Parvimonas,23,16,2.254184152208232
CRC_vs_Control__within_Male,ThomasAM_2019_c,Parvimonas,21,24,1.991680177902134
CRC_vs_Control__within_Male,VogtmannE_2016,Parvimonas,37,37,1.2317848513358167
CRC_vs_Control__within_Male,WirbelJ_2018,Parvimonas,36,37,2.0204859766375938
CRC_vs_Control__within_Male,YachidaS_2019,Parvimonas,161,136,0.9817204133773214
CRC_vs_Control__within_Male,YuJ_2015,Parvimonas,48,33,2.653055444177962
CRC_vs_Control__within_Male,ZellerG_2014,Parvimonas,29,28,2.258156338152178
CRC_vs_Control__within_Male,FengQ_2015,Ruthenibacterium,28,36,-0.08135824896357091
CRC_vs_Control__within_Male,GuptaA_2019,Ruthenibacterium,18,12,2.690595925130466
CRC_vs_Control__within_Male,HanniganGD_2017,Ruthenibacterium,20,11,-0.6842853932945432
CRC_vs_Control__within_Male,KIM_ADENOMAS_2020,Ruthenibacterium,20,62,-0.24032838147624452
CRC_vs_Control__within_Male,SINHA_CRC_2016,Ruthenibacterium,25,56,0.014897845100303786
CRC_vs_Control__within_Male,ThomasAM_2018a,Ruthenibacterium,23,13,0.24411274428876206
CRC_vs_Control__within_Male,ThomasAM_2018b,Ruthenibacterium,23,16,0.7350134068589275
CRC_vs_Control__within_Male,ThomasAM_2019_c,Ruthenibacterium,21,24,1.3287409755714228
CRC_vs_Control__within_Male,VogtmannE_2016,Ruthenibacterium,37,37,-0.013355501831663119
CRC_vs_Control__within_Male,WirbelJ_2018,Ruthenibacterium,36,37,1.6589897127253328
CRC_vs_Control__within_Male,YachidaS_2019,Ruthenibacterium,161,136,0.6309095766508335
CRC_vs_Control__within_Male,YuJ_2015,Ruthenibacterium,48,33,0.9231427606934166
CRC_vs_Control__within_Male,ZellerG_2014,Ruthenibacterium,29,28,0.5414824265999083
CRC_vs_Control__within_Male,FengQ_2015,Turicibacter,28,36,-1.3166219959545884
CRC_vs_Control__within_Male,GuptaA_2019,Turicibacter,18,12,-0.5924801523584411
CRC_vs_Control__within_Male,HanniganGD_2017,Turicibacter,20,11,0.11977185455676576
CRC_vs_Control__within_Male,KIM_ADENOMAS_2020,Turicibacter,20,62,-0.22529780507244368
CRC_vs_Control__within_Male,SINHA_CRC_2016,Turicibacter,25,56,0.07347028129358629
CRC_vs_Control__within_Male,ThomasAM_2018a,Turicibacter,23,13,0.1605845919555473
CRC_vs_Control__within_Male,ThomasAM_2018b,Turicibacter,23,16,-1.3314030105016528
CRC_vs_Control__within_Male,ThomasAM_2019_c,Turicibacter,21,24,-2.63389870278923
CRC_vs_Control__within_Male,VogtmannE_2016,Turicibacter,37,37,0.10353749079044183
CRC_vs_Control__within_Male,WirbelJ_2018,Turicibacter,36,37,-0.15162571132550395
CRC_vs_Control__within_Male,YachidaS_2019,Turicibacter,161,136,-0.606431071614018
CRC_vs_Control__within_Male,YuJ_2015,Turicibacter,48,33,-0.7897164400409338
CRC_vs_Control__within_Male,ZellerG_2014,Turicibacter,29,28,0.2579291838844944
CRC_vs_Control__within_Male,FengQ_2015,Fusobacterium,28,36,0.9329039266542254
CRC_vs_Control__within_Male,GuptaA_2019,Fusobacterium,18,12,0.3766468915426593
CRC_vs_Control__within_Male,HanniganGD_2017,Fusobacterium,20,11,-0.00033094391093491105
CRC_vs_Control__within_Male,KIM_ADENOMAS_2020,Fusobacterium,20,62,-0.20542346371774411
CRC_vs_Control__within_Male,SINHA_CRC_2016,Fusobacterium,25,56,0.2750804596984912
CRC_vs_Control__within_Male,ThomasAM_2018a,Fusobacterium,23,13,0.7141976693329748
CRC_vs_Control__within_Male,ThomasAM_2018b,Fusobacterium,23,16,1.243129465332585
CRC_vs_Control__within_Male,ThomasAM_2019_c,Fusobacterium,21,24,1.0405973639779984
CRC_vs_Control__within_Male,VogtmannE_2016,Fusobacterium,37,37,1.1206339670923942
CRC_vs_Control__within_Male,WirbelJ_2018,Fusobacterium,36,37,1.3824037029012457
CRC_vs_Control__within_Male,YachidaS_2019,Fusobacterium,161,136,1.3618867243400217
CRC_vs_Control__within_Male,YuJ_2015,Fusobacterium,48,33,2.2128877260030033
CRC_vs_Control__within_Male,ZellerG_2014,Fusobacterium,29,28,2.3597561026780856
CRC_vs_Control__within_Male,FengQ_2015,Lachnospira,28,36,1.2283970191230837
CRC_vs_Control__within_Male,GuptaA_2019,Lachnospira,18,12,-0.9920394036913782
CRC_vs_Control__within_Male,HanniganGD_2017,Lachnospira,20,11,0.23012620490762759
CRC_vs_Control__within_Male,KIM_ADENOMAS_2020,Lachnospira,20,62,0.1951392620482828
CRC_vs_Control__within_Male,SINHA_CRC_2016,Lachnospira,25,56,-0.608163677111695
CRC_vs_Control__within_Male,ThomasAM_2018a,Lachnospira,23,13,-1.0271418443371063
CRC_vs_Control__within_Male,ThomasAM_2018b,Lachnospira,23,16,-0.7352111108957904
CRC_vs_Control__within_Male,ThomasAM_2019_c,Lachnospira,21,24,-1.5483224042551642
CRC_vs_Control__within_Male,VogtmannE_2016,Lachnospira,37,37,-1.480535935367406
CRC_vs_Control__within_Male,WirbelJ_2018,Lachnospira,36,37,-1.1353266787666327
CRC_vs_Control__within_Male,YachidaS_2019,Lachnospira,161,136,-1.58865534766728
CRC_vs_Control__within_Male,YuJ_2015,Lachnospira,48,33,-2.1877626252766325
CRC_vs_Control__within_Male,ZellerG_2014,Lachnospira,29,28,-1.3605532816363803
CRC_vs_Control__within_Male,FengQ_2015,Lactococcus,28,36,-0.46196159753875543
CRC_vs_Control__within_Male,GuptaA_2019,Lactococcus,18,12,-0.534717887311779
CRC_vs_Control__within_Male,HanniganGD_2017,Lactococcus,20,11,0.32124918069620767
CRC_vs_Control__within_Male,KIM_ADENOMAS_2020,Lactococcus,20,62,0.049196159535339956
CRC_vs_Control__within_Male,SINHA_CRC_2016,Lactococcus,25,56,-0.41485334916257793
CRC_vs_Control__within_Male,ThomasAM_2018a,Lactococcus,23,13,0.28116240582311436
CRC_vs_Control__within_Male,ThomasAM_2018b,Lactococcus,23,16,-0.5803349295734233
CRC_vs_Control__within_Male,ThomasAM_2019_c,Lactococcus,21,24,-0.6013628801308006
CRC_vs_Control__within_Male,VogtmannE_2016,Lactococcus,37,37,-0.2541274204149775
CRC_vs_Control__within_Male,WirbelJ_2018,Lactococcus,36,37,0.07126683700092173
CRC_vs_Control__within_Male,YachidaS_2019,Lactococcus,161,136,-0.4337818502823789
CRC_vs_Control__within_Male,YuJ_2015,Lactococcus,48,33,0.12096734275024756
CRC_vs_Control__within_Male,ZellerG_2014,Lactococcus,29,28,-0.2992657328695676
CRC_vs_Control__within_Male,FengQ_2015,Faecalibacterium,28,36,-0.2677778662432342
CRC_vs_Control__within_Male,GuptaA_2019,Faecalibacterium,18,12,-2.0582983100541212
CRC_vs_Control__within_Male,HanniganGD_2017,Faecalibacterium,20,11,0.7867305656823271
CRC_vs_Control__within_Male,KIM_ADENOMAS_2020,Faecalibacterium,20,62,0.18092657898957842
CRC_vs_Control__within_Male,SINHA_CRC_2016,Faecalibacterium,25,56,-0.23370618827442602
CRC_vs_Control__within_Male,ThomasAM_2018a,Faecalibacterium,23,13,-0.93968134820269
CRC_vs_Control__within_Male,ThomasAM_2018b,Faecalibacterium,23,16,-0.1916403621484939
CRC_vs_Control__within_Male,ThomasAM_2019_c,Faecalibacterium,21,24,-0.21038019567437605
CRC_vs_Control__within_Male,VogtmannE_2016,Faecalibacterium,37,37,-1.157081011355893
CRC_vs_Control__within_Male,WirbelJ_2018,Faecalibacterium,36,37,-1.0023477923518813
CRC_vs_Control__within_Male,YachidaS_2019,Faecalibacterium,161,136,-1.03920779088247
CRC_vs_Control__within_Male,YuJ_2015,Faecalibacterium,48,33,-1.091920426369037
CRC_vs_Control__within_Male,ZellerG_2014,Faecalibacterium,29,28,-0.8299050448504506
CRC_vs_Control__within_Male,FengQ_2015,Turicimonas,28,36,-0.6705519608758306
CRC_vs_Control__within_Male,GuptaA_2019,Turicimonas,18,12,0.0833122373893811
CRC_vs_Control__within_Male,HanniganGD_2017,Turicimonas,20,11,-0.22073374045847283
CRC_vs_Control__within_Male,KIM_ADENOMAS_2020,Turicimonas,20,62,-0.1467527192060296
CRC_vs_Control__within_Male,SINHA_CRC_2016,Turicimonas,25,56,0.014897845100303786
CRC_vs_Control__within_Male,ThomasAM_2018a,Turicimonas,23,13,-0.31817410893157183
CRC_vs_Control__within_Male,ThomasAM_2018b,Turicimonas,23,16,-0.5940507994547466
CRC_vs_Control__within_Male,ThomasAM_2019_c,Turicimonas,21,24,-0.8065004229059447
CRC_vs_Control__within_Male,VogtmannE_2016,Turicimonas,37,37,-0.4015297309007484
CRC_vs_Control__within_Male,WirbelJ_2018,Turicimonas,36,37,0.12650336086790737
CRC_vs_Control__within_Male,YachidaS_2019,Turicimonas,161,136,-0.27807460861337674
CRC_vs_Control__within_Male,YuJ_2015,Turicimonas,48,33,-1.345276235654533
CRC_vs_Control__within_Male,ZellerG_2014,Turicimonas,29,28,0.0907859080754192
CRC_vs_Control__within_Male,FengQ_2015,Peptostreptococcus,28,36,0.8857906588375473
CRC_vs_Control__within_Male,GuptaA_2019,Peptostreptococcus,18,12,-0.1834210364202813
CRC_vs_Control__within_Male,HanniganGD_2017,Peptostreptococcus,20,11,-0.08130457920007639
CRC_vs_Control__within_Male,KIM_ADENOMAS_2020,Peptostreptococcus,20,62,-0.05716474574459429
CRC_vs_Control__within_Male,SINHA_CRC_2016,Peptostreptococcus,25,56,0.014897845100303786
CRC_vs_Control__within_Male,ThomasAM_2018a,Peptostreptococcus,23,13,0.06634333938206494
CRC_vs_Control__within_Male,ThomasAM_2018b,Peptostreptococcus,23,16,2.8968482703526743
CRC_vs_Control__within_Male,ThomasAM_2019_c,Peptostreptococcus,21,24,1.6420113353098136
CRC_vs_Control__within_Male,VogtmannE_2016,Peptostreptococcus,37,37,1.0356607427291151
CRC_vs_Control__within_Male,WirbelJ_2018,Peptostreptococcus,36,37,0.34946383167712103
CRC_vs_Control__within_Male,YachidaS_2019,Peptostreptococcus,161,136,0.7791650446878842
CRC_vs_Control__within_Male,YuJ_2015,Peptostreptococcus,48,33,2.285854074368046
CRC_vs_Control__within_Male,ZellerG_2014,Peptostreptococcus,29,28,2.5430492112638623
CRC_vs_Control__within_Female,FengQ_2015,Fusobacterium,18,25,2.7312401544298397
CRC_vs_Control__within_Female,GuptaA_2019,Fusobacterium,12,18,0.27589332045955606
CRC_vs_Control__within_Female,HanniganGD_2017,Fusobacterium,7,17,0.05573604354317907
CRC_vs_Control__within_Female,KIM_ADENOMAS_2020,Fusobacterium,16,40,0.03976738363995058
CRC_vs_Control__within_Female,SINHA_CRC_2016,Fusobacterium,17,33,0.44308212554529564
CRC_vs_Control__within_Female,ThomasAM_2018a,Fusobacterium,6,11,2.152533601525763
CRC_vs_Control__within_Female,ThomasAM_2018b,Fusobacterium,9,12,0.45428561482982976
CRC_vs_Control__within_Female,ThomasAM_2019_c,Fusobacterium,19,16,-0.397509249423668
CRC_vs_Control__within_Female,VogtmannE_2016,Fusobacterium,15,15,1.2588115632058516
CRC_vs_Control__within_Female,WirbelJ_2018,Fusobacterium,24,28,2.3938535118578086
CRC_vs_Control__within_Female,YachidaS_2019,Fusobacterium,97,115,0.7776109579912269
CRC_vs_Control__within_Female,YuJ_2015,Fusobacterium,26,21,2.9486459851038394
CRC_vs_Control__within_Female,ZellerG_2014,Fusobacterium,24,33,2.967466840582855
CRC_vs_Control__within_Female,FengQ_2015,Parvimonas,18,25,1.9211509073243958
CRC_vs_Control__within_Female,GuptaA_2019,Parvimonas,12,18,0.6936524431124688
CRC_vs_Control__within_Female,HanniganGD_2017,Parvimonas,7,17,0.33419025230399124
CRC_vs_Control__within_Female,KIM_ADENOMAS_2020,Parvimonas,16,40,0.046959435451239484
CRC_vs_Control__within_Female,SINHA_CRC_2016,Parvimonas,17,33,-0.03328816143325364
CRC_vs_Control__within_Female,ThomasAM_2018a,Parvimonas,6,11,2.019709930155837
CRC_vs_Control__within_Female,ThomasAM_2018b,Parvimonas,9,12,2.062506967762249
CRC_vs_Control__within_Female,ThomasAM_2019_c,Parvimonas,19,16,1.6893800400311565
CRC_vs_Control__within_Female,VogtmannE_2016,Parvimonas,15,15,0.6922477235038831
CRC_vs_Control__within_Female,WirbelJ_2018,Parvimonas,24,28,2.437462758478701
CRC_vs_Control__within_Female,YachidaS_2019,Parvimonas,97,115,0.6917910648127528
CRC_vs_Control__within_Female,YuJ_2015,Parvimonas,26,21,2.976940577541982
CRC_vs_Control__within_Female,ZellerG_2014,Parvimonas,24,33,1.3375734851902463
CRC_vs_Control__within_Female,FengQ_2015,Peptostreptococcus,18,25,2.0880273454010085
CRC_vs_Control__within_Female,GuptaA_2019,Peptostreptococcus,12,18,0.7768995968045456
CRC_vs_Control__within_Female,HanniganGD_2017,Peptostreptococcus,7,17,0.6997975001658266
CRC_vs_Control__within_Female,KIM_ADENOMAS_2020,Peptostreptococcus,16,40,0.0642881149652379
CRC_vs_Control__within_Female,SINHA_CRC_2016,Peptostreptococcus,17,33,-0.03328816143325364
CRC_vs_Control__within_Female,ThomasAM_2018a,Peptostreptococcus,6,11,1.311665596642665
CRC_vs_Control__within_Female,ThomasAM_2018b,Peptostreptococcus,9,12,2.38948409305459
CRC_vs_Control__within_Female,ThomasAM_2019_c,Peptostreptococcus,19,16,1.977547146928768
CRC_vs_Control__within_Female,VogtmannE_2016,Peptostreptococcus,15,15,0.812266658193666
CRC_vs_Control__within_Female,WirbelJ_2018,Peptostreptococcus,24,28,1.9372222572419253
CRC_vs_Control__within_Female,YachidaS_2019,Peptostreptococcus,97,115,0.5972759582811324
CRC_vs_Control__within_Female,YuJ_2015,Peptostreptococcus,26,21,2.0954520323921635
CRC_vs_Control__within_Female,ZellerG_2014,Peptostreptococcus,24,33,2.135895836809198
CRC_vs_Control__within_Female,FengQ_2015,Flavonifractor,18,25,1.1771457603755937
CRC_vs_Control__within_Female,GuptaA_2019,Flavonifractor,12,18,2.1785184830228825
CRC_vs_Control__within_Female,HanniganGD_2017,Flavonifractor,7,17,1.5720725028214306
CRC_vs_Control__within_Female,KIM_ADENOMAS_2020,Flavonifractor,16,40,0.6054882468119422
CRC_vs_Control__within_Female,SINHA_CRC_2016,Flavonifractor,17,33,0.9720370579259714
CRC_vs_Control__within_Female,ThomasAM_2018a,Flavonifractor,6,11,-0.09817705081562789
CRC_vs_Control__within_Female,ThomasAM_2018b,Flavonifractor,9,12,0.12528513514062256
CRC_vs_Control__within_Female,ThomasAM_2019_c,Flavonifractor,19,16,0.16612325105601133
CRC_vs_Control__within_Female,VogtmannE_2016,Flavonifractor,15,15,0.7035313619246026
CRC_vs_Control__within_Female,WirbelJ_2018,Flavonifractor,24,28,0.9462710802303738
CRC_vs_Control__within_Female,YachidaS_2019,Flavonifractor,97,115,0.2512685757958528
CRC_vs_Control__within_Female,YuJ_2015,Flavonifractor,26,21,0.8086588163983013
CRC_vs_Control__within_Female,ZellerG_2014,Flavonifractor,24,33,1.8071325766099826
CRC_vs_Control__within_Female,FengQ_2015,Turicimonas,18,25,-0.2555622850602308
CRC_vs_Control__within_Female,GuptaA_2019,Turicimonas,12,18,-0.26726847053097136
CRC_vs_Control__within_Female,HanniganGD_2017,Turicimonas,7,17,-0.4933044913272665
CRC_vs_Control__within_Female,KIM_ADENOMAS_2020,Turicimonas,16,40,0.0642881149652379
CRC_vs_Control__within_Female,SINHA_CRC_2016,Turicimonas,17,33,-0.03328816143325364
CRC_vs_Control__within_Female,ThomasAM_2018a,Turicimonas,6,11,-1.8339636885799333
CRC_vs_Control__within_Female,ThomasAM_2018b,Turicimonas,9,12,-0.3172693963846873
CRC_vs_Control__within_Female,ThomasAM_2019_c,Turicimonas,19,16,-0.7414092249396056
CRC_vs_Control__within_Female,VogtmannE_2016,Turicimonas,15,15,-0.5831241585506965
CRC_vs_Control__within_Female,WirbelJ_2018,Turicimonas,24,28,0.16177547322874242
CRC_vs_Control__within_Female,YachidaS_2019,Turicimonas,97,115,-0.3378680499432922
CRC_vs_Control__within_Female,YuJ_2015,Turicimonas,26,21,-1.3616991255203377
CRC_vs_Control__within_Female,ZellerG_2014,Turicimonas,24,33,-1.2357728533950474
CRC_vs_Control__within_Female,FengQ_2015,Gemella,18,25,1.034883345275097
CRC_vs_Control__within_Female,GuptaA_2019,Gemella,12,18,0.1761722578662006
CRC_vs_Control__within_Female,HanniganGD_2017,Gemella,7,17,0.50203257412023
CRC_vs_Control__within_Female,KIM_ADENOMAS_2020,Gemella,16,40,0.08470254545338385
CRC_vs_Control__within_Female,SINHA_CRC_2016,Gemella,17,33,0.04890366737777596
CRC_vs_Control__within_Female,ThomasAM_2018a,Gemella,6,11,1.920366440654846
CRC_vs_Control__within_Female,ThomasAM_2018b,Gemella,9,12,0.47305433845764744
CRC_vs_Control__within_Female,ThomasAM_2019_c,Gemella,19,16,0.9660291327184454
CRC_vs_Control__within_Female,VogtmannE_2016,Gemella,15,15,0.6092398962423224
CRC_vs_Control__within_Female,WirbelJ_2018,Gemella,24,28,1.9299357456527946
CRC_vs_Control__within_Female,YachidaS_2019,Gemella,97,115,0.5231673827604558
CRC_vs_Control__within_Female,YuJ_2015,Gemella,26,21,0.9937164536688152
CRC_vs_Control__within_Female,ZellerG_2014,Gemella,24,33,-0.005274682425125077
CRC_vs_Control__within_Female,FengQ_2015,Romboutsia,18,25,-1.0101487895344639
CRC_vs_Control__within_Female,GuptaA_2019,Romboutsia,12,18,-0.11842374940833911
CRC_vs_Control__within_Female,HanniganGD_2017,Romboutsia,7,17,-0.2338304709302257
CRC_vs_Control__within_Female,KIM_ADENOMAS_2020,Romboutsia,16,40,0.0642881149652379
CRC_vs_Control__within_Female,SINHA_CRC_2016,Romboutsia,17,33,-0.03328816143325364
CRC_vs_Control__within_Female,ThomasAM_2018a,Romboutsia,6,11,0.5119494111969098
CRC_vs_Control__within_Female,ThomasAM_2018b,Romboutsia,9,12,0.12421757320468485
CRC_vs_Control__within_Female,ThomasAM_2019_c,Romboutsia,19,16,0.21892187486776304
CRC_vs_Control__within_Female,VogtmannE_2016,Romboutsia,15,15,-0.3401161229459353
CRC_vs_Control__within_Female,WirbelJ_2018,Romboutsia,24,28,-0.19503584170415644
CRC_vs_Control__within_Female,YachidaS_2019,Romboutsia,97,115,-0.14866595724218357
CRC_vs_Control__within_Female,YuJ_2015,Romboutsia,26,21,-0.37672038687301423
CRC_vs_Control__within_Female,ZellerG_2014,Romboutsia,24,33,0.026256111565029272
CRC_vs_Control__within_Female,FengQ_2015,Butyrivibrio,18,25,-0.990510136764198
CRC_vs_Control__within_Female,GuptaA_2019,Butyrivibrio,12,18,-0.2863388162937297
CRC_vs_Control__within_Female,HanniganGD_2017,Butyrivibrio,7,17,1.1817596270479003
CRC_vs_Control__within_Female,KIM_ADENOMAS_2020,Butyrivibrio,16,40,0.0642881149652379
CRC_vs_Control__within_Female,SINHA_CRC_2016,Butyrivibrio,17,33,-0.03328816143325364
CRC_vs_Control__within_Female,ThomasAM_2018a,Butyrivibrio,6,11,-1.905108537874728
CRC_vs_Control__within_Female,ThomasAM_2018b,Butyrivibrio,9,12,-0.7040437919231315
CRC_vs_Control__within_Female,ThomasAM_2019_c,Butyrivibrio,19,16,0.3342741218250165
CRC_vs_Control__within_Female,VogtmannE_2016,Butyrivibrio,15,15,-3.556061226670756
CRC_vs_Control__within_Female,WirbelJ_2018,Butyrivibrio,24,28,-0.26720750683167793
CRC_vs_Control__within_Female,YachidaS_2019,Butyrivibrio,97,115,-0.2861733526898278
CRC_vs_Control__within_Female,YuJ_2015,Butyrivibrio,26,21,0.6088739933822489
CRC_vs_Control__within_Female,ZellerG_2014,Butyrivibrio,24,33,-1.106766786619851
CRC_vs_Control__within_Female,FengQ_2015,Ruthenibacterium,18,25,-0.7309751370031679
CRC_vs_Control__within_Female,GuptaA_2019,Ruthenibacterium,12,18,1.612178447109482
CRC_vs_Control__within_Female,HanniganGD_2017,Ruthenibacterium,7,17,0.08814253412565742
CRC_vs_Control__within_Female,KIM_ADENOMAS_2020,Ruthenibacterium,16,40,0.13260263977730347
CRC_vs_Control__within_Female,SINHA_CRC_2016,Ruthenibacterium,17,33,-0.03328816143325364
CRC_vs_Control__within_Female,ThomasAM_2018a,Ruthenibacterium,6,11,0.3108940107107738
CRC_vs_Control__within_Female,ThomasAM_2018b,Ruthenibacterium,9,12,0.4291872380192079
CRC_vs_Control__within_Female,ThomasAM_2019_c,Ruthenibacterium,19,16,1.5434987050806976
CRC_vs_Control__within_Female,VogtmannE_2016,Ruthenibacterium,15,15,0.2649054635620307
CRC_vs_Control__within_Female,WirbelJ_2018,Ruthenibacterium,24,28,1.0607430799732784
CRC_vs_Control__within_Female,YachidaS_2019,Ruthenibacterium,97,115,0.27202641960087104
CRC_vs_Control__within_Female,YuJ_2015,Ruthenibacterium,26,21,1.131703490957738
CRC_vs_Control__within_Female,ZellerG_2014,Ruthenibacterium,24,33,0.7989586102386477
CRC_vs_Control__within_Female,FengQ_2015,Coprobacter,18,25,0.5992282987024986
CRC_vs_Control__within_Female,GuptaA_2019,Coprobacter,12,18,-0.47310332849900194
CRC_vs_Control__within_Female,HanniganGD_2017,Coprobacter,7,17,-0.03536768913263688
CRC_vs_Control__within_Female,KIM_ADENOMAS_2020,Coprobacter,16,40,-0.34167460718018616
CRC_vs_Control__within_Female,SINHA_CRC_2016,Coprobacter,17,33,0.075178634492715
CRC_vs_Control__within_Female,ThomasAM_2018a,Coprobacter,6,11,1.8981697094313412
CRC_vs_Control__within_Female,ThomasAM_2018b,Coprobacter,9,12,-1.5445530849393985
CRC_vs_Control__within_Female,ThomasAM_2019_c,Coprobacter,19,16,-1.0742167210909224
CRC_vs_Control__within_Female,VogtmannE_2016,Coprobacter,15,15,-0.958653011596592
CRC_vs_Control__within_Female,WirbelJ_2018,Coprobacter,24,28,0.253267913898592
CRC_vs_Control__within_Female,YachidaS_2019,Coprobacter,97,115,-1.2101996975642477
CRC_vs_Control__within_Female,YuJ_2015,Coprobacter,26,21,-0.7700902473935236
